1  0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 175.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 263.00 2 : 29.00 3 : 19.00 4 : 0.00
1 : 0.00 2 : 136.00 3 : 29.00 4 : 19.00
1 : 0.00 2 : 253.00 3 : 78.00 4 : 185.00
1 : 0.00 2 : 332.00 3 : 68.00 4 : 371.00
1 : 0.00 2 : 244.00 3 : 0.00 4 : 449.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 39.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 292.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 283.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 29.00 2 : 78.00 3 : 9.00 4 : 0.00
1 : 0.00 2 : 371.00 3 : 39.00 4 : 87.00
1 : 0.00 2 : 634.00 3 : 29.00 4 : 234.00
1 : 0.00 2 : 419.00 3 : 0.00 4 : 224.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 351.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 234.00 2 : 29.00 3 : 0.00 4 : 0.00
1 : 29.00 2 : 107.00 3 : 19.00 4 : 0.00
1 : 0.00 2 : 380.00 3 : 48.00 4 : 126.00
1 : 0.00 2 : 576.00 3 : 19.00 4 : 273.00
1 : 0.00 2 : 146.00 3 : 0.00 4 : 175.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 351.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 117.00 2 : 29.00 3 : 0.00 4 : 0.00
1 : 9.00 2 : 205.00 3 : 29.00 4 : 29.00
1 : 0.00 2 : 419.00 3 : 58.00 4 : 195.00
1 : 0.00 2 : 537.00 3 : 9.00 4 : 390.00
1 : 0.00 2 : 58.00 3 : 0.00 4 : 156.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 214.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 312.00 2 : 48.00 3 : 0.00 4 : 0.00
1 : 29.00 2 : 156.00 3 : 9.00 4 : 0.00
1 : 0.00 2 : 400.00 3 : 29.00 4 : 68.00
1 : 0.00 2 : 605.00 3 : 39.00 4 : 234.00
1 : 0.00 2 : 380.00 3 : 0.00 4 : 224.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 371.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 146.00 2 : 19.00 3 : 9.00 4 : 0.00
1 : 0.00 2 : 126.00 3 : 48.00 4 : 39.00
1 : 0.00 2 : 332.00 3 : 68.00 4 : 205.00
1 : 0.00 2 : 371.00 3 : 29.00 4 : 371.00
1 : 0.00 2 : 87.00 3 : 0.00 4 : 351.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 361.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 136.00 2 : 0.00 3 : 9.00 4 : 0.00
1 : 0.00 2 : 78.00 3 : 48.00 4 : 19.00
1 : 0.00 2 : 224.00 3 : 97.00 4 : 175.00
1 : 0.00 2 : 234.00 3 : 78.00 4 : 429.00
1 : 0.00 2 : 29.00 3 : 0.00 4 : 371.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 87.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 361.00 2 : 9.00 3 : 0.00 4 : 0.00
1 : 68.00 2 : 97.00 3 : 9.00 4 : 0.00
